mix,song1_index,song2_index,song1_title,song2_title,tempo_1,spectral_centroid_1,spectral_bandwidth_1,zero_crossing_rate_1,mfcc_1_1,mfcc_2_1,mfcc_3_1,mfcc_4_1,mfcc_5_1,mfcc_6_1,mfcc_7_1,mfcc_8_1,mfcc_9_1,mfcc_10_1,mfcc_11_1,mfcc_12_1,mfcc_13_1,tempo_2,spectral_centroid_2,spectral_bandwidth_2,zero_crossing_rate_2,mfcc_1_2,mfcc_2_2,mfcc_3_2,mfcc_4_2,mfcc_5_2,mfcc_6_2,mfcc_7_2,mfcc_8_2,mfcc_9_2,mfcc_10_2,mfcc_11_2,mfcc_12_2,mfcc_13_2
50,2,3,id='nBg0xMJ2Sz0' title='Dred Bass - Morpheus [Back 2 Basics]',id='tP89zqLk6G4' title='Ram Trilogy - Gridlock [RAM]',86.1328125,3330.2959313481065,2998.1960885417384,0.1458853178623782,-21.183268,51.1841,13.708188,27.206417,7.0103106,17.426847,0.0113980435,7.2470064,0.8312089,8.772496,-0.58344924,0.40945083,-2.2874482,86.1328125,3458.209241230283,2912.9201976458826,0.1550654531490497,-14.5451,47.137455,-2.035788,9.572549,1.1411777,13.9856415,-5.393348,10.12884,-3.4402306,9.79466,-1.8279498,4.35122,4.1911945
50,3,4,id='tP89zqLk6G4' title='Ram Trilogy - Gridlock [RAM]',id='Ex9TxkgrVZ4' title='Capone - Tudor Rose [Hardleaders]',86.1328125,3458.209241230283,2912.9201976458826,0.1550654531490497,-14.5451,47.137455,-2.035788,9.572549,1.1411777,13.9856415,-5.393348,10.12884,-3.4402306,9.79466,-1.8279498,4.35122,4.1911945,112.34714673913044,3518.867877957595,2799.2812071552,0.1942763737795323,-18.210026,35.19572,12.066846,22.726427,-2.3411722,18.14284,0.9609661,11.328538,-2.7629209,7.6632295,-0.22172251,6.062021,-2.0097659
50,4,5,id='Ex9TxkgrVZ4' title='Capone - Tudor Rose [Hardleaders]',id='10SkVPcx4MA' title='Bad Company - Brain Scan [BC]',112.34714673913044,3518.867877957595,2799.2812071552,0.1942763737795323,-18.210026,35.19572,12.066846,22.726427,-2.3411722,18.14284,0.9609661,11.328538,-2.7629209,7.6632295,-0.22172251,6.062021,-2.0097659,86.1328125,3080.508129857584,2906.748081792262,0.1289298907301411,-121.493996,53.728767,4.314949,21.423502,24.563454,21.964188,10.72637,11.793107,11.928333,9.586852,1.6866424,4.3548117,5.3887677
50,5,6,id='10SkVPcx4MA' title='Bad Company - Brain Scan [BC]',id='St4P4m8hOlk' title='+ Ed Rush & Optical - Bacteria [Virus]',86.1328125,3080.508129857584,2906.748081792262,0.1289298907301411,-121.493996,53.728767,4.314949,21.423502,24.563454,21.964188,10.72637,11.793107,11.928333,9.586852,1.6866424,4.3548117,5.3887677,86.1328125,2651.568391178995,2860.180278467562,0.0845644108361835,-122.85866,86.41432,24.27649,14.577664,13.293792,11.414115,-4.448013,7.7829714,-1.1939907,6.725029,-3.476713,2.4243982,-3.0872447
50,6,7,id='St4P4m8hOlk' title='+ Ed Rush & Optical - Bacteria [Virus]',id='mPCg3N7XgNA' title='Spy - Z Plane [Underfire]',86.1328125,2651.568391178995,2860.180278467562,0.0845644108361835,-122.85866,86.41432,24.27649,14.577664,13.293792,11.414115,-4.448013,7.7829714,-1.1939907,6.725029,-3.476713,2.4243982,-3.0872447,89.10290948275862,3842.8113229770697,3030.593117610373,0.1507338212998532,-29.079206,8.886109,34.3422,66.59299,18.495384,22.423098,8.827868,14.405867,4.334721,7.6400003,2.2590094,5.7412014,2.5484385
50,7,8,id='mPCg3N7XgNA' title='Spy - Z Plane [Underfire]',id='DDZ2KXGRKtU' title='DJ Hype & DJ Zinc - Untitled [Global Thang - GTR 12008]',89.10290948275862,3842.8113229770697,3030.593117610373,0.1507338212998532,-29.079206,8.886109,34.3422,66.59299,18.495384,22.423098,8.827868,14.405867,4.334721,7.6400003,2.2590094,5.7412014,2.5484385,89.10290948275862,2927.4270987665464,2693.7052920408487,0.1181891778142003,-97.910904,54.326466,-3.3441672,35.39115,16.924622,29.353727,-2.9679446,16.712006,-6.1633024,6.4869533,-2.5837626,3.6937034,-1.0383688
50,8,9,id='DDZ2KXGRKtU' title='DJ Hype & DJ Zinc - Untitled [Global Thang - GTR 12008]',id='_fvatl_AYlw' title='J Majik - Subway (Photek Remix) [Infrared]',89.10290948275862,2927.4270987665464,2693.7052920408487,0.1181891778142003,-97.910904,54.326466,-3.3441672,35.39115,16.924622,29.353727,-2.9679446,16.712006,-6.1633024,6.4869533,-2.5837626,3.6937034,-1.0383688,117.45383522727272,3058.87264014862,2678.4483825393554,0.157171698720569,-85.92755,58.830624,2.412589,9.849075,-5.0111017,10.015884,-2.1622703,9.219173,1.0576613,7.7652655,3.5330625,4.1210356,-1.2978958
50,9,10,id='_fvatl_AYlw' title='J Majik - Subway (Photek Remix) [Infrared]',id='MM8J6Rt4aOE' title='Grooverider - Charade (Dub Mix) [Deep Jungle]',117.45383522727272,3058.87264014862,2678.4483825393554,0.157171698720569,-85.92755,58.830624,2.412589,9.849075,-5.0111017,10.015884,-2.1622703,9.219173,1.0576613,7.7652655,3.5330625,4.1210356,-1.2978958,86.1328125,2371.241831868808,2290.0606096425768,0.1184111616880756,-139.14551,87.538414,12.207133,36.607143,-7.543078,17.540396,-11.30798,15.758775,-1.5287422,5.002568,-2.5264223,1.3695209,-0.30908
50,10,11,id='MM8J6Rt4aOE' title='Grooverider - Charade (Dub Mix) [Deep Jungle]',id='RoO1jq_faQw' title='Pascal - P-Funk 2000 [True Playaz]',86.1328125,2371.241831868808,2290.0606096425768,0.1184111616880756,-139.14551,87.538414,12.207133,36.607143,-7.543078,17.540396,-11.30798,15.758775,-1.5287422,5.002568,-2.5264223,1.3695209,-0.30908,86.1328125,3407.10641464422,2967.407697112044,0.1500232927888709,-102.881836,39.64725,-8.522773,13.789511,15.39617,8.172895,1.0545195,14.975636,3.459594,7.0975995,3.5871067,7.934465,-2.5453763
50,11,12,id='RoO1jq_faQw' title='Pascal - P-Funk 2000 [True Playaz]',id='l5DchUj2K7I' title='J Majik - Nightvision [Infrared]',86.1328125,3407.10641464422,2967.407697112044,0.1500232927888709,-102.881836,39.64725,-8.522773,13.789511,15.39617,8.172895,1.0545195,14.975636,3.459594,7.0975995,3.5871067,7.934465,-2.5453763,86.1328125,3256.885313066123,2839.197063721475,0.1502061032130816,-11.874174,66.102844,13.864594,11.974013,-5.5235257,13.76966,-4.983413,5.458519,-1.3333428,1.01801,-1.9890711,2.0699952,-2.1489084
