"","tempo_1","spectral_centroid_1","spectral_bandwidth_1","zero_crossing_rate_1","mfcc_a_1","mfcc_b_1","mfcc_c_1","mfcc_d_1","mfcc_e_1","mfcc_f_1","mfcc_g_1","mfcc_h_1","mfcc_i_1","mfcc_j_1","mfcc_k_1","mfcc_l_1","mfcc_m_1","tempo_2","spectral_centroid_2","spectral_bandwidth_2","zero_crossing_rate_2","mfcc_a_2","mfcc_b_2","mfcc_c_2","mfcc_d_2","mfcc_e_2","mfcc_f_2","mfcc_g_2","mfcc_h_2","mfcc_i_2","mfcc_j_2","mfcc_k_2","mfcc_l_2","mfcc_m_2","s1","s2","compatible"
"172",89.1029094827586,2786.41970236217,2577.1765853848,0.122640973031598,-80.10471,63.86669,3.5906553,26.541573,-5.2569327,7.8280044,-5.715684,5.899693,3.65117,8.420402,3.7642844,6.988631,1.9060919,86.1328125,2596.35447619174,2879.208964579,0.0933754131766298,-66.72148,78.52899,16.644653,21.32647,9.984421,5.1826453,-0.49959937,5.8752446,3.5886855,6.500005,2.0713687,4.1678224,-1.2000246,"ak danny breaks deep porn","marcus intalex st files universe",TRUE
"173",86.1328125,2596.35447619174,2879.208964579,0.0933754131766298,-66.72148,78.52899,16.644653,21.32647,9.984421,5.1826453,-0.49959937,5.8752446,3.5886855,6.500005,2.0713687,4.1678224,-1.2000246,172.265625,2843.82307708305,2800.36481072316,0.124173564444277,-95.99266,71.42547,29.913912,39.414204,9.868639,14.33491,2.178771,2.856438,-5.8016357,5.3111,-11.734165,4.0608435,-8.0115385,"marcus intalex st files universe","roni size snapshot",TRUE
"174",172.265625,2843.82307708305,2800.36481072316,0.124173564444277,-95.99266,71.42547,29.913912,39.414204,9.868639,14.33491,2.178771,2.856438,-5.8016357,5.3111,-11.734165,4.0608435,-8.0115385,89.1029094827586,3003.12690290966,2498.86147012191,0.151599739357441,-86.58216,57.773426,-4.7661195,28.99777,-4.674295,5.7594295,-5.983177,4.453539,-3.36955,6.0533996,-4.471283,1.3227869,-5.5707626,"roni size snapshot","dj zinc toothbrush",TRUE
"175",89.1029094827586,3003.12690290966,2498.86147012191,0.151599739357441,-86.58216,57.773426,-4.7661195,28.99777,-4.674295,5.7594295,-5.983177,4.453539,-3.36955,6.0533996,-4.471283,1.3227869,-5.5707626,86.1328125,3125.1617980318,3009.91496405655,0.13188569438449,-82.86102,57.854923,12.835738,23.822634,24.064781,21.213146,5.7228136,9.327718,-0.22360182,7.0658073,-0.8222232,4.0258303,-0.42266846,"dj zinc toothbrush","pascal serious sounds",TRUE
"176",86.1328125,3125.1617980318,3009.91496405655,0.13188569438449,-82.86102,57.854923,12.835738,23.822634,24.064781,21.213146,5.7228136,9.327718,-0.22360182,7.0658073,-0.8222232,4.0258303,-0.42266846,89.1029094827586,2758.33158036593,2745.53351308885,0.105602247292999,-40.97907,63.144924,-7.308528,20.475367,16.55208,24.782963,9.057104,14.800677,5.8011723,10.187455,2.318469,4.263085,0.13786387,"pascal serious sounds","dj zinc local motion",TRUE
"177",89.1029094827586,2758.33158036593,2745.53351308885,0.105602247292999,-40.97907,63.144924,-7.308528,20.475367,16.55208,24.782963,9.057104,14.800677,5.8011723,10.187455,2.318469,4.263085,0.13786387,86.1328125,2914.61345593401,2839.79139788543,0.128620681800293,-88.35947,65.788605,26.073202,28.281855,9.256503,11.778053,6.4950123,5.844858,0.8373215,4.6478996,-0.72837454,6.405391,-3.6656363,"dj zinc local motion","ed rush optical fierce alien girl",TRUE
"178",86.1328125,2914.61345593401,2839.79139788543,0.128620681800293,-88.35947,65.788605,26.073202,28.281855,9.256503,11.778053,6.4950123,5.844858,0.8373215,4.6478996,-0.72837454,6.405391,-3.6656363,117.453835227273,2639.36423150758,2700.98486732137,0.100613908076262,-31.813282,74.51877,5.521953,23.126614,12.169262,19.708046,-0.51005006,7.457127,3.7640507,6.0598536,0.22165728,5.324739,-2.0629125,"ed rush optical fierce alien girl","bad company sentient",TRUE
"179",117.453835227273,2639.36423150758,2700.98486732137,0.100613908076262,-31.813282,74.51877,5.521953,23.126614,12.169262,19.708046,-0.51005006,7.457127,3.7640507,6.0598536,0.22165728,5.324739,-2.0629125,86.1328125,2409.72421118817,2638.78321754043,0.0886222975551988,-61.93879,88.40463,8.425282,25.40556,-2.3127804,10.958058,3.4185598,13.615344,-3.368295,6.9114413,-2.3467076,6.694871,-4.689029,"bad company sentient","kraken side effects",TRUE
"180",86.1328125,2860.61748565484,2720.73289699054,0.113315254010588,-68.641716,71.87234,-4.0076575,18.237535,5.8267474,11.525394,1.3709462,8.670218,3.5294266,10.800305,2.387521,7.629302,0.38812882,86.1328125,3227.86930733178,3035.8910729189,0.0987290546967346,-74.92382,40.048653,26.416624,22.500803,14.956758,18.355026,7.869018,22.341282,0.65822846,5.8301196,-2.6210902,8.228654,2.7880528,"ryme tyme trace move","capone friday",TRUE
"181",86.1328125,3227.86930733178,3035.8910729189,0.0987290546967346,-74.92382,40.048653,26.416624,22.500803,14.956758,18.355026,7.869018,22.341282,0.65822846,5.8301196,-2.6210902,8.228654,2.7880528,86.1328125,2495.10013786343,2487.76403271706,0.0931302922698716,-79.24617,81.96597,-16.775171,10.961549,14.485754,20.369041,6.4207296,15.972545,13.789768,6.6957364,-0.7015983,14.3788595,2.8386788,"capone friday","bad company the nine",TRUE
"182",86.1328125,2495.10013786343,2487.76403271706,0.0931302922698716,-79.24617,81.96597,-16.775171,10.961549,14.485754,20.369041,6.4207296,15.972545,13.789768,6.6957364,-0.7015983,14.3788595,2.8386788,86.1328125,2676.50555311036,2652.77025819655,0.123909766179978,-110.316574,70.82012,-15.54129,14.893916,10.727418,20.56749,-1.0363988,17.327398,-0.6456185,12.6160755,-2.4537125,14.266778,-4.856475,"bad company the nine","jonny l selecta",TRUE
"183",86.1328125,2676.50555311036,2652.77025819655,0.123909766179978,-110.316574,70.82012,-15.54129,14.893916,10.727418,20.56749,-1.0363988,17.327398,-0.6456185,12.6160755,-2.4537125,14.266778,-4.856475,86.1328125,2745.22063333996,2884.89565520039,0.0982591886930448,-46.428963,59.76726,31.86453,47.16831,9.6538,21.488192,6.398799,5.3180566,0.35806972,-0.09253526,0.1976762,5.0001817,-4.271522,"jonny l selecta","roni size krust hop scotch",TRUE
"184",86.1328125,2745.22063333996,2884.89565520039,0.0982591886930448,-46.428963,59.76726,31.86453,47.16831,9.6538,21.488192,6.398799,5.3180566,0.35806972,-0.09253526,0.1976762,5.0001817,-4.271522,86.1328125,3394.30062819443,3210.92148200414,0.149262286138268,-38.45496,60.958023,30.889297,12.334598,12.976043,8.164465,2.0345912,5.7682605,-0.755202,3.1568336,-2.4768424,-0.69161147,-3.9001884,"roni size krust hop scotch","jagged edge rock baby",TRUE
"185",86.1328125,3394.30062819443,3210.92148200414,0.149262286138268,-38.45496,60.958023,30.889297,12.334598,12.976043,8.164465,2.0345912,5.7682605,-0.755202,3.1568336,-2.4768424,-0.69161147,-3.9001884,117.453835227273,3209.6054188807,2844.40331912407,0.139662107337926,-9.498304,48.12934,12.93119,41.080555,2.0522985,12.063984,-1.8365711,7.7774444,-1.5418693,3.1727302,1.2890165,4.6792507,-2.708948,"jagged edge rock baby","breakbeat era our disease tera",TRUE
"186",117.453835227273,3209.6054188807,2844.40331912407,0.139662107337926,-9.498304,48.12934,12.93119,41.080555,2.0522985,12.063984,-1.8365711,7.7774444,-1.5418693,3.1727302,1.2890165,4.6792507,-2.708948,89.1029094827586,2971.25681160904,2695.81376745195,0.134974765620564,-69.45433,55.31036,-0.14985646,29.468824,11.905397,17.943542,-0.043948375,5.3116703,-4.8458505,7.7102604,-2.7711987,4.658344,-5.7987857,"breakbeat era our disease tera","dj reality detroit blues",TRUE
"187",89.1029094827586,2971.25681160904,2695.81376745195,0.134974765620564,-69.45433,55.31036,-0.14985646,29.468824,11.905397,17.943542,-0.043948375,5.3116703,-4.8458505,7.7102604,-2.7711987,4.658344,-5.7987857,172.265625,2843.82307708305,2800.36481072316,0.124173564444277,-95.99266,71.42547,29.913912,39.414204,9.868639,14.33491,2.178771,2.856438,-5.8016357,5.3111,-11.734165,4.0608435,-8.0115385,"dj reality detroit blues","roni size snapshot",TRUE
"188",172.265625,2843.82307708305,2800.36481072316,0.124173564444277,-95.99266,71.42547,29.913912,39.414204,9.868639,14.33491,2.178771,2.856438,-5.8016357,5.3111,-11.734165,4.0608435,-8.0115385,172.265625,2400.29563673984,2511.11815264286,0.0671805445283464,-152.54283,64.75672,-6.6834645,35.353264,23.383436,18.233942,7.069348,11.744012,7.065928,10.442036,3.4432693,6.2980576,2.2538524,"roni size snapshot","ryme tyme trace hashplant",TRUE
"189",172.265625,2400.29563673984,2511.11815264286,0.0671805445283464,-152.54283,64.75672,-6.6834645,35.353264,23.383436,18.233942,7.069348,11.744012,7.065928,10.442036,3.4432693,6.2980576,2.2538524,172.265625,2563.61955527207,2503.30118608442,0.103959123911385,-106.5048,78.7061,5.7394037,25.327248,14.085826,20.353876,7.687416,13.004437,1.7179731,6.2103095,3.0581167,4.4688773,0.9195102,"ryme tyme trace hashplant","bad company seizure",TRUE
"190",172.265625,2563.61955527207,2503.30118608442,0.103959123911385,-106.5048,78.7061,5.7394037,25.327248,14.085826,20.353876,7.687416,13.004437,1.7179731,6.2103095,3.0581167,4.4688773,0.9195102,86.1328125,2955.74423357982,2999.95335610378,0.116943398281873,-162.04997,71.32728,29.915854,15.636559,6.5189996,17.939259,4.8864946,9.689046,-0.9920903,4.0230756,1.8551185,3.071112,-0.9668028,"bad company seizure","trace optical kridian",TRUE
